更新时间,#genre#
20260403 08:04:18,url


freetv,#genre#
CCTV1,https://t.freetv.fun/live/cctv-1.m3u8$[BD]cctv-1
CCTV1,https://t.freetv.fun/live/cctv-1zong-he-1.m3u8$[BD]cctv-1综合
CCTV1,https://t.freetv.fun/live/cctv1-1.php$[BD]cctv1
CCTV1,https://t.freetv.fun/live/cctv1-2.php$[BD]cctv1
CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8$[BD]cctv1
CCTV1,https://t.freetv.fun/live/cctv1-4.m3u8$[BD]cctv1
CCTV1,https://t.freetv.fun/live/cctv1-5.php$[BD]cctv1
CCTV1,https://t.freetv.fun/live/cctv1-6.m3u8$[BD]cctv1
CCTV1,https://t.freetv.fun/live/cctv1-7.m3u8$[HD]cctv1
CCTV10,https://t.freetv.fun/live/cctv-10-1.php$[BD]cctv-10
CCTV10,https://t.freetv.fun/live/cctv-10-2.m3u8$[BD]cctv-10
CCTV10,https://t.freetv.fun/live/cctv-10-3.m3u8$[BD]cctv-10
CCTV10,https://t.freetv.fun/live/cctv-10gao-qing.m3u8$[BD]cctv-10高清
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-1.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-10.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-11.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-12.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-3.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-4.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-5.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-7.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-8.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-9.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv10-1.m3u8$[BD]cctv10
CCTV10,https://t.freetv.fun/live/cctv10-2.php$[BD]cctv10
CCTV10,https://t.freetv.fun/live/cctv10-5.php$[BD]cctv10
CCTV10,https://t.freetv.fun/live/cctv10.php$[BD]cctv10
CCTV11,https://t.freetv.fun/live/cctv-11-1.php$[BD]cctv-11
CCTV11,https://t.freetv.fun/live/cctv-11.m3u8$[BD]cctv-11
CCTV11,https://t.freetv.fun/live/cctv-11hd-1.m3u8$[BD]cctv-11hd
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-1.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-10.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-3.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-4.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-6.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-7.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-8.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-9.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv11-3.php$[BD]cctv11
CCTV11,https://t.freetv.fun/live/cctv11-4.m3u8$[HD]cctv11
CCTV11,https://t.freetv.fun/live/cctv11.php$[BD]cctv11
CCTV12,https://t.freetv.fun/live/cctv-12.m3u8$[BD]cctv-12
CCTV12,https://t.freetv.fun/live/cctv-12gao-qing.m3u8$[BD]cctv-12高清
CCTV12,https://t.freetv.fun/live/cctv-12she-hui-yu-fa.m3u8$[BD]cctv-12社会与法
CCTV12,https://t.freetv.fun/live/cctv12-2.php$[BD]cctv12
CCTV12,https://t.freetv.fun/live/cctv12-3.m3u8$[BD]cctv12
CCTV12,https://t.freetv.fun/live/cctv12.php$[BD]cctv12
CCTV13,https://t.freetv.fun/live/cctv-13-1.php$[HD]cctv-13
CCTV13,https://t.freetv.fun/live/cctv-13.m3u8$[BD]cctv-13
CCTV13,https://t.freetv.fun/live/cctv-13hd-1.m3u8$[HD]cctv-13hd
CCTV13,https://t.freetv.fun/live/cctv-13hd.m3u8$[HD]cctv-13hd
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen-1.m3u8$[BD]cctv-13新闻
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen-2.m3u8$[BD]cctv-13新闻
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen-4.m3u8$[BD]cctv-13新闻
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen-6.m3u8$[BD]cctv-13新闻
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen-7.m3u8$[BD]cctv-13新闻
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen.m3u8$[BD]cctv-13新闻
CCTV13,https://t.freetv.fun/live/cctv13-1.php$[BD]cctv13
CCTV13,https://t.freetv.fun/live/cctv13-2.php$[BD]cctv13
CCTV13,https://t.freetv.fun/live/cctv13-21.m3u8$[BD]cctv13
CCTV13,https://t.freetv.fun/live/cctv13-5.php$[BD]cctv13
CCTV13,https://t.freetv.fun/live/cctv13-6.m3u8$[BD]cctv13
CCTV13,https://t.freetv.fun/live/cctv13-7.m3u8$[HD]cctv13
CCTV13,https://t.freetv.fun/live/cctv13-xin-wen.m3u8$[BD]cctv13-新闻
CCTV14,https://t.freetv.fun/live/cctv-14.m3u8$[BD]cctv-14
CCTV14,https://t.freetv.fun/live/cctv-14gao-qing.m3u8$[BD]cctv-14高清
CCTV14,https://t.freetv.fun/live/cctv-14hd-1.m3u8$[BD]cctv-14hd
CCTV14,https://t.freetv.fun/live/cctv-14shao-er-1.m3u8$[BD]cctv-14少儿
CCTV14,https://t.freetv.fun/live/cctv-14shao-er-2.m3u8$[BD]cctv-14少儿
CCTV14,https://t.freetv.fun/live/cctv-14shao-er-3.m3u8$[BD]cctv-14少儿
CCTV14,https://t.freetv.fun/live/cctv-14shao-er-5.m3u8$[BD]cctv-14少儿
CCTV14,https://t.freetv.fun/live/cctv-14shao-er-7.m3u8$[BD]cctv-14少儿
CCTV14,https://t.freetv.fun/live/cctv-14shao-er.m3u8$[BD]cctv-14少儿
CCTV14,https://t.freetv.fun/live/cctv14-1.php$[BD]cctv14
CCTV14,https://t.freetv.fun/live/cctv14-3.m3u8$[BD]cctv14
CCTV14,https://t.freetv.fun/live/cctv14-5.m3u8$[BD]cctv14
CCTV14,https://t.freetv.fun/live/cctv14-8.m3u8$[BD]cctv14
CCTV14,https://t.freetv.fun/live/cctv14.php$[BD]cctv14
CCTV15,https://t.freetv.fun/live/cctv-15-1.m3u8$[BD]cctv-15
CCTV15,https://t.freetv.fun/live/cctv-15gao-qing.m3u8$[BD]cctv-15高清
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-1.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-10.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-11.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-12.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-2.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-3.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-5.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-7.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-8.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-9.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv-15yin-le.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv15-1.php$[BD]cctv15
CCTV15,https://t.freetv.fun/live/cctv15-10.m3u8$[BD]cctv15
CCTV15,https://t.freetv.fun/live/cctv15-2.m3u8$[HD]cctv15
CCTV15,https://t.freetv.fun/live/cctv15-5.m3u8$[BD]cctv15
CCTV15,https://t.freetv.fun/live/cctv15.php$[BD]cctv15
CCTV16,https://t.freetv.fun/live/cctv-16-1.php$[BD]cctv-16
CCTV16,https://t.freetv.fun/live/cctv-16.m3u8$[BD]cctv-16
CCTV16,https://t.freetv.fun/live/cctv16-2.m3u8$[BD]cctv16
CCTV16,https://t.freetv.fun/live/cctv16-3.m3u8$[BD]cctv16
CCTV16,https://t.freetv.fun/live/cctv16-4.m3u8$[BD]cctv16
CCTV16,https://t.freetv.fun/live/cctv16-5.m3u8$[BD]cctv16
CCTV16,https://t.freetv.fun/live/cctv16-6.m3u8$[BD]cctv16
CCTV16,https://t.freetv.fun/live/cctv16-7.m3u8$[BD]cctv16
CCTV16,https://t.freetv.fun/live/cctv16-8.php$[BD]cctv16
CCTV16,https://t.freetv.fun/live/cctv16.m3u8$[BD]cctv16
CCTV17,https://t.freetv.fun/live/cctv-17-1.php$[BD]cctv-17
CCTV17,https://t.freetv.fun/live/cctv-17.m3u8$[BD]cctv-17
CCTV17,https://t.freetv.fun/live/cctv17-1.php$[BD]cctv17
CCTV17,https://t.freetv.fun/live/cctv17.php$[BD]cctv17
CCTV2,https://t.freetv.fun/live/cctv2-1.php$[BD]cctv2
CCTV2,https://t.freetv.fun/live/cctv2-2.php$[BD]cctv2
CCTV2,https://t.freetv.fun/live/cctv2-3.php$[BD]cctv2
CCTV2,https://t.freetv.fun/live/cctv2-4.m3u8$[HD]cctv2
CCTV2,https://t.freetv.fun/live/cctv2-7.m3u8$[BD]cctv2
CCTV3,https://t.freetv.fun/live/cctv-3.m3u8$[BD]cctv-3
CCTV3,https://t.freetv.fun/live/cctv-3gao-qing.m3u8$[BD]cctv-3高清
CCTV3,https://t.freetv.fun/live/cctv-3hd-1.m3u8$[BD]cctv-3hd
CCTV3,https://t.freetv.fun/live/cctv3-1.php$[BD]cctv3
CCTV3,https://t.freetv.fun/live/cctv3-10.m3u8$[BD]cctv3
CCTV3,https://t.freetv.fun/live/cctv3-2.m3u8$[BD]cctv3
CCTV3,https://t.freetv.fun/live/cctv3-3.m3u8$[BD]cctv3
CCTV3,https://t.freetv.fun/live/cctv3-5.php$[BD]cctv3
CCTV3,https://t.freetv.fun/live/cctv3-9.m3u8$[BD]cctv3
CCTV3,https://t.freetv.fun/live/cctv3.php$[BD]cctv3
CCTV4,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji-2.m3u8$[BD]cctv-4_中文国际
CCTV4,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji.m3u8$[BD]cctv-4_中文国际
CCTV4,https://t.freetv.fun/live/cctv-4.m3u8$[BD]cctv-4
CCTV4,https://t.freetv.fun/live/cctv-4gao-qing.m3u8$[BD]cctv-4高清
CCTV4,https://t.freetv.fun/live/cctv-4hd-1.m3u8$[BD]cctv-4hd
CCTV4,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-1.m3u8$[BD]cctv-4中文国际
CCTV4,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-2.m3u8$[BD]cctv-4中文国际
CCTV4,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-4.m3u8$[BD]cctv-4中文国际
CCTV4,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-6.m3u8$[BD]cctv-4中文国际
CCTV4,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-7.m3u8$[BD]cctv-4中文国际
CCTV4,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji.m3u8$[BD]cctv-4中文国际
CCTV4,https://t.freetv.fun/live/cctv4-1.m3u8$[BD]cctv4
CCTV4,https://t.freetv.fun/live/cctv4-2.php$[BD]cctv4
CCTV4,https://t.freetv.fun/live/cctv4-3.m3u8$[BD]cctv4
CCTV4,https://t.freetv.fun/live/cctv4-4.m3u8$[HD]cctv4
CCTV4,https://t.freetv.fun/live/cctv4-5.php$[BD]cctv4
CCTV4,https://t.freetv.fun/live/cctv4-6.m3u8$[HD]cctv4
CCTV4,https://t.freetv.fun/live/cctv4.m3u8$[BD]cctv4
CCTV4,https://t.freetv.fun/live/cctv4k-2.m3u8$[BD]cctv4k
CCTV4,https://t.freetv.fun/live/cctv4k-4.m3u8$[BD]cctv4k
CCTV4,https://t.freetv.fun/live/cctv4k-5.m3u8$[BD]cctv4k
CCTV4,https://t.freetv.fun/live/cctv4k.php$[BD]cctv4k
CCTV4K,https://t.freetv.fun/live/cctv4k-1.m3u8$[HD]cctv4k
CCTV4K,https://t.freetv.fun/live/cctv4k-3.m3u8$[HD]cctv4k
CCTV5+,https://t.freetv.fun/live/cctv5-plus-1.m3u8$[BD]cctv5_plus
CCTV5+,https://t.freetv.fun/live/cctv5-plus-2.php$[BD]cctv5_plus
CCTV5+,https://t.freetv.fun/live/cctv5-plus-4.m3u8$[BD]cctv5_plus
CCTV5+,https://t.freetv.fun/live/cctv5-plus-5.m3u8$[BD]cctv5_plus
CCTV5+,https://t.freetv.fun/live/cctv5-plus-6.m3u8$[BD]cctv5_plus
CCTV5+,https://t.freetv.fun/live/cctv5-plus.php$[BD]cctv5_plus
CCTV5,https://t.freetv.fun/live/cctv-5.m3u8$[BD]cctv-5
CCTV5,https://t.freetv.fun/live/cctv-5gao-qing.m3u8$[BD]cctv-5高清
CCTV5,https://t.freetv.fun/live/cctv-5hd-1.m3u8$[BD]cctv-5hd
CCTV5,https://t.freetv.fun/live/cctv-5ti-yu.m3u8$[BD]cctv-5体育
CCTV5,https://t.freetv.fun/live/cctv5-1.php$[BD]cctv5
CCTV5,https://t.freetv.fun/live/cctv5-2.m3u8$[BD]cctv5
CCTV5,https://t.freetv.fun/live/cctv5-3.m3u8$[BD]cctv5
CCTV5,https://t.freetv.fun/live/cctv5-5.m3u8$[BD]cctv5
CCTV5,https://t.freetv.fun/live/cctv5-6.m3u8$[BD]cctv5
CCTV5,https://t.freetv.fun/live/cctv5-plus-3.m3u8$[HD]cctv5_plus
CCTV5,https://t.freetv.fun/live/cctv5.php$[BD]cctv5
CCTV6,https://t.freetv.fun/live/cctv-6.m3u8$[BD]cctv-6
CCTV6,https://t.freetv.fun/live/cctv-6gao-qing.m3u8$[BD]cctv-6高清
CCTV6,https://t.freetv.fun/live/cctv6-1.m3u8$[BD]cctv6
CCTV6,https://t.freetv.fun/live/cctv6-2.php$[BD]cctv6
CCTV6,https://t.freetv.fun/live/cctv6-4.php$[BD]cctv6
CCTV6,https://t.freetv.fun/live/cctv6.php$[BD]cctv6
CCTV7,https://t.freetv.fun/live/cctv-7.m3u8$[BD]cctv-7
CCTV7,https://t.freetv.fun/live/cctv-7gao-qing.m3u8$[BD]cctv-7高清
CCTV7,https://t.freetv.fun/live/cctv-7hd-1.m3u8$[BD]cctv-7hd
CCTV7,https://t.freetv.fun/live/cctv7-1.php$[BD]cctv7
CCTV7,https://t.freetv.fun/live/cctv7-3.m3u8$[BD]cctv7
